"BOM"
"Approx 2 KG of PLA"
"5 450mm by 2mm steel rods"
"1 50mm EDF Fan (sized for this one Amazon.com: ZLXHDL 50mm EDF Motor 4S KV4300 High Thrust 770g Brushless Ducted Fan Unit 77g Lightweight High RPM Replacement Propulsion System for RC Jet Airplane Fighter : Toys & Games)"
""
"1 4s ESC (Amazon.com: 40A Brushless ESC 2-4S Speed Controller 5V 3A BEC with XT60 Plug for RC Drone Airplanes Multi-axis Aircraft Helicopter : Toys & Games)"
"3 1in steel hinges (Piutouyar 6Pack Butt Hinge 1 Inch Mini 304 Stainless Steel Small Cabinet Folding Craft Hinges With Mounting Screws for Boxes Gate Drawer - Amazon.com)"
"1 Temp/humidity sensor (Amazon.com: EC Buying 12Pcs AHT10 Digital Sensor Module Temperature and Humidity Sensor High Precision Digital Temperature and Humidity Sensor Measurement Module I2C Communication Replace DHT11 SHT20 AM2302 : Appliances)"
"1 Pressure sensor (Amazon.com: ACEIRMC 6pcs GY-68 BMP180 Temperature Barometric Pressure Sensor Module for Arduino (6pcs) : Electronics)"
"1 4s Battery with xt60 (Amazon.com: OVONIC 4S LiPo Battery 6500mAh 14.8V 130C RC Battery with XT60 to TRA Connector : Toys & Games)"
"1 ELRS Receiver (Amazon.com: RadioMaster ER6 ELRS PWM Receiver: 2.4GHz 6Ch ExpressLRS Receiver Nano Module for Fixed Wing RC Vehicles by Speedybee : Toys & Games)"
"1 ELRS Transmitter (Radiomaster Pocket)"
"1 arduino (Amazon.com: Arduino UNO R4 WiFi [ABX00087] - Renesas RA4M1 + ESP32-S3, Wi-Fi, Bluetooth, USB-C, CAN, 12-bit DAC, OP AMP, Qwiic Connector, 12x8 LED Matrix for Advanced IoT & Embedded Projects : Electronics)"
"3 9g Servos"
"1 20kg servo (Amazon.com: Treedix 2 pcs MG996R Servo Motor Metal Gear High-Torque Servo Motor for Smart Car Robot Boat RC Helicopter Mechanical arm Fittings(Control Angle 360) : Toys & Games)"
"1 M3 heated insert"
"1 m3 bolt (about 16 mm)"
"Fishing line"
"Dupont Wiring (ELEGOO 120pcs Multicolored Dupont Wire 40pin Male to Female, 40pin Male to Male, 40pin Female to Female Breadboard Jumper Wires Ribbon Cables Kit Compatible with Arduino Projects: Amazon.com: Industrial & Scientific)"
